Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;30,448;Q1;336;48;136;3741;2181;136;10,85;77,94;26,32;48;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;22,344;Q1;399;95;353;6242;4589;351;9,93;65,71;23,79;85;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;19,139;Q1;386;77;226;4679;1834;220;6,66;60,77;18,09;45;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
4;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;18,530;Q1;235;83;261;4493;2464;258;6,96;54,13;17,80;61;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
5;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;17,701;Q1;242;78;269;3330;1821;264;5,92;42,69;13,86;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;17,654;Q1;268;118;409;7065;4167;408;7,43;59,87;17,78;82;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;13,655;Q1;355;89;562;4857;5709;558;10,08;54,57;23,45;45;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
8;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;13,609;Q1;184;93;249;5410;1635;249;5,85;58,17;15,42;73;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
9;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;11,799;Q1;309;49;172;3778;2631;151;14,03;77,10;36,94;11;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
10;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;11,092;Q1;199;36;76;4802;1033;75;11,76;133,39;35,80;28;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
11;28973;"Journal of Econometrics";journal;"03044076, 18726895";"Elsevier B.V.";No;No;9,161;Q1;205;274;454;12843;3179;436;8,83;46,87;20,04;79;Netherlands;Western Europe;"Elsevier B.V.";"1973-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
12;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;8,925;Q1;97;28;88;2805;703;88;6,51;100,18;22,22;22;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
13;29838;"Journal of Accounting and Economics";journal;"01654101";"Elsevier B.V.";No;No;8,337;Q1;207;48;137;2875;862;135;4,78;59,90;22,73;7;Netherlands;Western Europe;"Elsevier B.V.";"1979-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
14;21100203106;"Foundations and Trends in Finance";journal;"15672409, 15672395";"Now Publishers Inc";No;No;8,051;Q1;26;2;4;435;15;4;5,50;217,50;0,00;1;United States;Northern America;"Now Publishers Inc";"2005-2015, 2017, 2020-2021, 2023-2025";"Economics and Econometrics (Q1); Finance (Q1)";"Economics, Econometrics and Finance"
15;16160;"Review of Finance";journal;"1573692X, 15723097";"Oxford University Press";No;No;7,769;Q1;91;61;129;3138;839;128;6,13;51,44;16,25;30;United Kingdom;Western Europe;"Oxford University Press";"2001-2002, 2004-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
