Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
1;29431;"Quarterly Journal of Economics";journal;"00335533, 15314650";"Oxford University Press";No;No;33,069;Q1;336;60;144;4637;2630;144;17,30;77,28;27,33;38;United Kingdom;Western Europe;"Oxford University Press";"1886-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
2;24202;"Review of Economic Studies";journal;"00346527, 1467937X";"Oxford University Press";No;No;23,622;Q1;184;116;288;7482;3344;288;11,42;64,50;17,08;66;United Kingdom;Western Europe;"Oxford University Press";"1933-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
3;22697;"American Economic Review";journal;"19447981, 00028282";"American Economic Association";No;No;23,489;Q1;399;120;323;8756;4759;322;9,55;72,97;24,60;46;United States;Northern America;"American Economic Association";"1973-1975, 1978-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
4;17500;"Journal of Finance";journal;"00221082, 15406261";"Wiley-Blackwell Publishing Ltd";No;No;22,270;Q1;386;86;243;5002;3233;236;12,30;58,16;21,15;25;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1946-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
5;19482;"Econometrica";journal;"00129682, 14680262";"Wiley-Blackwell Publishing Ltd";No;No;19,935;Q1;242;76;243;3625;1956;233;5,94;47,70;16,23;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1974, 1977-1985, 1990-1991, 1994-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
6;24379;"Journal of Financial Economics";journal;"0304405X";"Elsevier B.V.";No;No;18,748;Q1;355;143;401;8293;6073;399;8,99;57,99;22,16;31;Netherlands;Western Europe;"Elsevier B.V.";"1974-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
7;19700200701;"Annual Review of Economics";journal;"19411383, 19411391";"Annual Reviews Inc.";No;No;17,768;Q1;97;30;84;3832;1499;84;13,14;127,73;25,42;11;United States;Northern America;"Annual Reviews Inc.";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
8;16161;"Review of Financial Studies";journal;"14657368, 08939454";"Oxford University Press";No;No;17,406;Q1;268;88;332;5472;3147;332;8,71;62,18;21,46;19;United Kingdom;Western Europe;"Oxford University Press";"1996-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
9;27165;"Journal of Economic Literature";journal;"00220515";"American Economic Association";No;No;16,872;Q1;199;22;98;4890;1431;97;13,15;222,27;23,53;11;United States;Northern America;"American Economic Association";"1981, 1984, 1986, 1996-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
10;24404;"Journal of Political Economy";journal;"00223808, 1537534X";"University of Chicago Press";No;No;16,250;Q1;235;91;250;5654;2006;244;6,70;62,13;17,23;40;United States;Northern America;"University of Chicago Press";"1969, 1973-1974, 1979-1985, 1987-2026";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
11;22951;"Journal of Marketing";journal;"15477185, 00222429";"American Marketing Association";No;No;12,226;Q1;309;62;152;4823;3058;145;13,62;77,79;41,11;1;United States;Northern America;"American Marketing Association";"1939, 1941, 1956, 1958-1959, 1969-1981, 1984-1991, 1993-2026";"Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
12;22899;"Journal of Consumer Research";journal;"00935301, 15375277";"Oxford University Press";No;No;11,045;Q1;248;61;190;4637;2040;189;9,78;76,02;46,75;0;United Kingdom;Western Europe;"Oxford University Press";"1975, 1977-1978, 1984, 1988, 1991-1992, 1996-2026";"Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Economics and Econometrics (Q1); Marketing (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
13;16160;"Review of Finance";journal;"1573692X, 15723097";"Oxford University Press";No;No;9,870;Q1;91;54;168;2983;2256;166;7,62;55,24;22,63;3;United Kingdom;Western Europe;"Oxford University Press";"2001-2002, 2004-2026";"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
